,id,text,aspect,polarity
53,217,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,anecdotes/miscellaneous,positive
54,3478,Now it's so crowded and loud you can't even talk to the person next to you.,ambience,negative
55,1180,"Go, go, hurry, before everyone finds out about it.",anecdotes/miscellaneous,positive
56,3372,I've been many time and have never been disappointed.,anecdotes/miscellaneous,positive
57,776,The food was great.,food,positive
58,3208,Don't leave without trying One Night in Tokyo.,anecdotes/miscellaneous,positive
59,2673,I would go back tho.,anecdotes/miscellaneous,positive
60,1380,Definately check it out!!!,anecdotes/miscellaneous,positive
61,3641,You cannot go wrong with this place.,anecdotes/miscellaneous,positive
62,2806,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",anecdotes/miscellaneous,positive
63,2630,I loving bringing friends here -and I do so every chance I get.,anecdotes/miscellaneous,positive
64,924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,food,positive
65,924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,ambience,positive
66,3411,Even my Indian friend couldn't believe how good and tasty everything was.,food,positive
67,2164,We were not dissappointed in the least bit by this little gem.,anecdotes/miscellaneous,positive
68,3077,A pleasant surprise.,anecdotes/miscellaneous,positive
69,745,This was a repeat visit and we'll definitely be back again.,anecdotes/miscellaneous,positive
70,1273,I love the fact that the pizza tastes so good and is so cheap.,food,positive
71,1273,I love the fact that the pizza tastes so good and is so cheap.,price,positive
72,179,"Service was prompt, friendly and great.",service,positive
73,2460,OU MUST TRY THIS RESTAURANT.,anecdotes/miscellaneous,positive
74,3045,All pretty good.,anecdotes/miscellaneous,positive
75,1698,"Have eaten at Ginger House several times, and it's always good.",anecdotes/miscellaneous,positive
76,109,"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",food,positive
77,1057,Drawbacks: service is slow and they don't toast!,service,negative
78,2186,It is by far my favorite restaurant in Brooklyn.,anecdotes/miscellaneous,positive
79,3471,I've been to Joya twice and I will never go again.,anecdotes/miscellaneous,negative
80,1401,A hearty two thumbs up!,anecdotes/miscellaneous,positive
81,1112,Great find!!!,anecdotes/miscellaneous,positive
82,3368,"If only they delivered, they'd make a mint!",anecdotes/miscellaneous,positive
83,3495,Was surprisingly disappointed.,anecdotes/miscellaneous,negative
84,2451,The prices were fantastic.,price,positive
85,948,I'm told that it is open 24hrs which is good.,anecdotes/miscellaneous,positive
86,2202,What more could you want?,anecdotes/miscellaneous,positive
87,2740,Excellent experience.,anecdotes/miscellaneous,positive
88,537,Definitely a neighborhood favorite.,anecdotes/miscellaneous,positive
89,1548,"The food is terrible and overall, I would have to say avoid at all costs.",food,negative
90,134,The food is prepared quickly and efficiently.,food,positive
91,2708,"The food is fresh, delicious, and reasonably priced.",food,positive
92,2708,"The food is fresh, delicious, and reasonably priced.",price,positive
93,1455,This is my favorite Italian restaurant in all of New York City.,anecdotes/miscellaneous,positive
94,2591,"Anyway, this is the last time I cross the williamsburg.",anecdotes/miscellaneous,negative
95,1593,I am bringing my whole family back next time.,anecdotes/miscellaneous,positive
96,1769,Love YUKA.,anecdotes/miscellaneous,positive
97,3575,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",anecdotes/miscellaneous,neutral
98,1105,I have been coming to this neighborhood spot for years.,anecdotes/miscellaneous,neutral
99,2575,We will be back.,anecdotes/miscellaneous,positive
100,742,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,ambience,positive
101,1471,"A large is $20, and toppings are about $3 each.",price,neutral
102,1656,The spicy tuna and salmon are the best we've ever had.,food,positive
103,2769,A guaranteeed delight!,anecdotes/miscellaneous,positive
104,3681,"The food was very good, a great deal, and the place its self was great.",food,positive
105,3681,"The food was very good, a great deal, and the place its self was great.",ambience,positive
106,3681,"The food was very good, a great deal, and the place its self was great.",price,positive
107,2205,The food is usually good but it certainly isn't a relaxing place to go.,food,positive
108,2205,The food is usually good but it certainly isn't a relaxing place to go.,ambience,negative
109,1159,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",ambience,positive
110,628,The server was really cool and served us our food and drinks with a smile.,service,positive
111,2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",food,positive
112,3188,Went there for an office lunch.,anecdotes/miscellaneous,neutral
113,3041,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",anecdotes/miscellaneous,neutral
