,id,text,aspect,polarity
54,3478, now it 's so crowded and loud you ca n't even talk to the person next to you .,ambience,negative
55,1180," go , go , hurry , before everyone finds out about it .",anecdotes/miscellaneous,positive
56,3372, i 've been many time and have never been disappointed .,anecdotes/miscellaneous,positive
57,776, the food was great .,food,positive
58,3208, do n't leave without trying one night in tokyo .,anecdotes/miscellaneous,positive
59,2673, i would go back tho .,anecdotes/miscellaneous,positive
60,1380, definately check it out ! ! !,anecdotes/miscellaneous,positive
61,3641, you can not go wrong with this place .,anecdotes/miscellaneous,positive
62,2806," as a japanese native , i 've lived in the tristate area for over 8 years , but i was just so amazed at this place .",anecdotes/miscellaneous,positive
63,2630, i loving bringing friends here and i do so every chance i get .,anecdotes/miscellaneous,positive
64,924, with the theater 2 blocks away we had a delicious meal in a beautiful room .,food,positive
65,924, with the theater 2 blocks away we had a delicious meal in a beautiful room .,ambience,positive
66,3411, even my indian friend could n't believe how good and tasty everything was .,food,positive
67,2164, we were not disappointed in the least bit by this little gem .,anecdotes/miscellaneous,positive
68,3077, a pleasant surprise .,anecdotes/miscellaneous,positive
69,745, this was a repeat visit and we 'll definitely be back again .,anecdotes/miscellaneous,positive
70,1273, i love the fact that the pizza tastes so good and is so cheap .,food,positive
71,1273, i love the fact that the pizza tastes so good and is so cheap .,price,positive
72,179," service was prompt , friendly and great .",service,positive
73,2460, ou must try this restaurant .,anecdotes/miscellaneous,positive
74,3045, all pretty good .,anecdotes/miscellaneous,positive
75,1698," have eaten at ginger house several times , and it 's always good .",anecdotes/miscellaneous,positive
76,109," i have n't eat a lamb chop as delicious as that , the salads are really nice dressed with lemon and extra virgin olive oil .",food,positive
77,1057, drawbacks : service is slow and they do n't toast !,service,negative
78,2186, it is by far my favorite restaurant in brooklyn .,anecdotes/miscellaneous,positive
79,3471, i 've been to joya twice and i will never go again .,anecdotes/miscellaneous,negative
80,1401, a hearty two thumbs up !,anecdotes/miscellaneous,positive
81,1112, great find ! ! !,anecdotes/miscellaneous,positive
82,3368," if only they delivered , they 'd make a mint !",anecdotes/miscellaneous,positive
83,3495, was surprisingly disappointed .,anecdotes/miscellaneous,negative
84,2451, the prices were fantastic .,price,positive
85,948, i 'm told that it is open 24hrs which is good .,anecdotes/miscellaneous,positive
86,2202, what more could you want ?,anecdotes/miscellaneous,positive
87,2740, excellent experience .,anecdotes/miscellaneous,positive
88,537, definitely a neighborhood favorite .,anecdotes/miscellaneous,positive
89,1548," the food is terrible and overall , i would have to say avoid at all costs .",food,negative
90,134, the food is prepared quickly and efficiently .,food,positive
91,2708," the food is fresh , delicious , and reasonably priced .",food,positive
92,2708," the food is fresh , delicious , and reasonably priced .",price,positive
93,1455, this is my favorite italian restaurant in all of new york city .,anecdotes/miscellaneous,positive
94,2591," anyway , this is the last time i cross the williamsburg .",anecdotes/miscellaneous,negative
95,1593, i am bringing my whole family back next time .,anecdotes/miscellaneous,positive
96,1769, love yuka .,anecdotes/miscellaneous,positive
97,3575," as we were leaving , the couple standing by the door said to another waiter , we 're not in a hurry .",anecdotes/miscellaneous,neutral
98,1105, i have been coming to this neighborhood spot for years .,anecdotes/miscellaneous,neutral
99,2575, we will be back .,anecdotes/miscellaneous,positive
100,742, the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,ambience,positive
101,1471," a large is $ 20 , and toppings are about $ 3 each .",price,neutral
102,1656, the spicy tuna and salmon are the best we 've ever had .,food,positive
103,2769, a guaranteed delight !,anecdotes/miscellaneous,positive
104,3681," the food was very good , a great deal , and the place its self was great .",food,positive
105,3681," the food was very good , a great deal , and the place its self was great .",ambience,positive
106,3681," the food was very good , a great deal , and the place its self was great .",price,positive
107,2205, the food is usually good but it certainly is n't a relaxing place to go .,food,positive
108,2205, the food is usually good but it certainly is n't a relaxing place to go .,ambience,negative
109,1159," after dinner , take your date to the huge dance floor , probably one of the biggest you 'll see in ny .",ambience,positive
110,628, the server was really cool and served us our food and drinks with a smile .,service,positive
111,2912," the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i 've ever had ) .",food,positive
112,3188, went there for an office lunch .,anecdotes/miscellaneous,neutral
113,3041," we 've only eaten in the restaurant once , but we have ordered many times for dinner .",anecdotes/miscellaneous,neutral
